text,label,prediction
they are saying there were nigger vikings for fuck sake yup jews are rewriting our history to show us that niggers have always been with us pisses me off fucking jews.,Toxic,Toxic
oh shit the nigger layoffs are habbening.,Toxic,Toxic
reminder you are retarded.,Toxic,Toxic
hey nazi dirtbag is your black bull keeping you occupied.,Toxic,Toxic
hahahaha not my fault that you forgot my birthday i hate you.,Toxic,Toxic
yes but what with raghead hygienics where did you put that left hand and all who going to buy it wink.,Toxic,Toxic
damn these hoes don t appreciate shit a good man does for em.,Toxic,Toxic
user wow you really set the bar really low with this one i get it about the house but you re ghetto af.,Toxic,Toxic
most muslim men are homosexuals pakistan has more male prostitutes than most countries film makers concluded that most pakistani men visit male prostitutes for sex if you dont believe me ask the ex cricketer and now politician imran khan.,Toxic,Toxic
rather than saddle white women with more children that they probably can not afford perhaps it would be better to spike the water supply in the middle east with a substance that makes men impotent better idea.,Toxic,Toxic
very interesting to see what strikes fear into the hearts of leftists it not islamic jihadists it not muslim rape gangs it not ghetto crime it not mexican drug cartels it the idea that a white person could be violent that scares them.,Toxic,Toxic
you niggas faggots putting you all hands on females.,Toxic,Toxic
excuse me but those are not people those are niggers buffalo nostril shitskin burrheaded knuckle runnin spear chucking welfare monkey spaboolie spook coon moolie niggers niggers make me fucking sick.,Toxic,Toxic
that high verbal iq did not help that one heeb it would seem that basic bitch knowledge.,Toxic,Toxic
the bride is a gold digging nigger whore.,Toxic,Toxic
also in this same vibe any wigger who calls white missionaries who save the lives of non white children in africa india ect a race traitor is an actual hm.,Toxic,Toxic
shut up you dumb kike.,Toxic,Toxic
he my bitch on the cool made him suck my dick last night and the shit off it from his ass i have got him up for sale tonight.,Toxic,Toxic
jews are not complicated they make it seem that way azikanzi bullshit my ass that made up shit all it is is jew tube tv dna has been done some jews married into white culture in the caucuses mountains we r called caucasians for a reason.,Toxic,Toxic
you know how that nigger blamed weather on rothschilds without realizing he was naming the jew and then his kike handlers wrote his apology for him maybe trump did not realize what globalist meant and now his kike handlers jarvanka have taken over.,Toxic,Toxic
asshole nigger juan williams is on the five whining about media manipulating people for their vote in the modern era while seemingly forgetting his whole reason for being on fox is to try to manipulate people minds to get their votes for his commie partners fuck you juan.,Toxic,Toxic
user just shut up jihadi and whole country will burn you if you oppose.,Toxic,Toxic
woman like you usally come from the worst type of human formed females screeches the nigger who has spent the last few hours issuing death threats.,Toxic,Toxic
purple commie zhid from russia has arthritis and mental disability so to kick someone he needs lots of calcium and zoloft.,Toxic,Toxic
iq nationalism leads to a jew asian bugocracy imposing miseries on heritage white americans that sound good to anyone but jews asians and their stepinfetchit swpl shitlib white lackeys.,Toxic,Toxic
user jews will never be on the blockchain because you can not trust them.,Toxic,Toxic
what the fuck coca cola not a joke multicultural commercial featuring song america just had muslim immams and head bags and lyric god shed his grace on thee in arabic they really want us fucking dead.,Toxic,Toxic
in checking out change org for my bringemhome project i am realizing that the idiots posting there are really going to cry about saving white people i can see the libtards now whites are not under attack and black lives matter re.,Toxic,Toxic
the lawyers are getting rich the politicians are getting child prostitutes from moslem pedos uk taxpayers pay hugely for a few to go to jail for a while no doubt to come out repeat bullets are way cheaper faster more permanent.,Toxic,Toxic
you can only predict the position of the stars and planets by using the spherical earth model and predictions are quite accurate far into the future it not even possible to predict a lunar eclipse using the retarded flat earth model sphericalearth.,Toxic,Toxic
i am sure it was probably a niglet.,Toxic,Toxic
user i do not know but the power of pasco turned her into trailer trash when she go there.,Toxic,Toxic
brown fuck with us dick no fuckin this nigger.,Toxic,Toxic
and by islamic reform i mean nuking every moslem city on the planet.,Toxic,Toxic
it always broke dirty looking itches that talk the most shit go sit ur dirty po white trash lookin ass down tf.,Toxic,Toxic
terrifying ly retarded.,Toxic,Toxic
logan paul is a fucking bozo.,Toxic,Toxic
hannah baker was a bitch wtf.,Toxic,Toxic
counter muslim tactics by wrapping a woollen scarf around ones head with only the eyes uncovered and claiming to be a member of the ancient order of scarfies when approached by bank or airport staff if large numbers of us did this where masked muzzies exist it could be interesting.,Toxic,Toxic
i need somebody to twist my hair for me no richmond hoes tho i do not trust you bitches.,Toxic,Toxic
user i literally hate you.,Toxic,Toxic
gas the kikes and muzzies with tide pods at least they will be clean enough to show up at church.,Toxic,Toxic
more kike lies could not even find his body yet those cocksmokers tell us they have his fucking dna esad thank nature for the tay sachs.,Toxic,Toxic
lol kike.,Toxic,Toxic
look at those two hoes a dirty hoe and a back hoe because she came back to profit off of djt hoe.,Toxic,Toxic
we need nigger control.,Toxic,Toxic
user he is a commie muzzy white hating cunt who is at war with america hang him for treason.,Toxic,Toxic
you know the type greedy hook nose kike would send a country into famine if the shekels were right.,Toxic,Toxic
welp another number day zuck cuck they really hate the word faggot over there at the hook of faces.,Toxic,Toxic
today in number the great inventor nikola tesla died he was an immigrant america can be proud of i wonder what inventions the muslim refugees bring oh yeah a clock.,Toxic,Toxic
do you vote based on penis size weird dyke move.,Toxic,Toxic
i am sure vox gay would have brought up his astronomical iq by now though it is something he seems to have a problem managing.,Toxic,Toxic
user stream trench i fucking hate you omg.,Toxic,Toxic
millions died for this system they despise millions died for this system that pays them millions per year there is a whole continent in africa for you nfl faggots.,Toxic,Toxic
give a nigger a rope and he thinks he a cowboy when you obey the rothschilds you get you caymen account padded.,Toxic,Toxic
we need to start making right wing propaganda depicting homosexuals and arabs as villains though not just because they belong to those groups we need to be a smidge more subversive the infotainment medium alone will wont cement the glorious winning.,Toxic,Toxic
what the fuck is wrong with these parents not homeschooling your kids is retarded enough but these parents that throw their kids in non white schools are next level unforgivable insanity.,Toxic,Toxic
a vile piece of shit that kidnapped beat and tortured a pregnant woman and got out on   k bail thanks to his kike lawyers from the music industry.,Toxic,Toxic
user user the rest of the world thinks you re a racist homophobic sex criminal.,Toxic,Toxic
i hate faggots.,Toxic,Toxic
whats going on with that jesus campos guy and the vegas shooting all the live topics are gay.,Toxic,Toxic
may put a muzrat in charge of immigration.,Toxic,Toxic
many white bitches heavily infected with a beast blood dna in whites by itself against beasteality we have problem not with women but with birth whites work for minimum wage and not want to produce so their kids would work hard to support leaching animals.,Toxic,Toxic
user user shut up faggot.,Toxic,Toxic
so i posted on craigslist rnr wondering why there were so many beaners in this town and i get this as a response i knew there were illiterates out there but this one is ridiculous.,Toxic,Toxic
yeah it goes beyond equality now and is an agenda to push their gay beliefs onto people mostly children so they grow up to be like them where they are easily influenced.,Toxic,Toxic
damn right we are going to react when an number white country pushes non white actors everywhere.,Toxic,Toxic
blackstones meet the blackstones they are a stone age ghetto family from the town of harlem they are niggers right from history.,Toxic,Toxic
how much mental flip flopping does it require when you are talking about number million immigrants and a democratic party that seeks to incite them against a scapegoated native population because they want votes.,Toxic,Toxic
all the blacks in the picture are not indigenous these are migrants from northern countries drawn by promise of the wealth created by the boer the only blacks who were there originally were tiny numbers of hottentot bushmen so much for the motherland not yours pal.,Toxic,Toxic
i did not have my childhood disrupted by forced school busing i was already living in an integrated neighborhood and went to an integrated school but that wasn t good enough so niggers can pull shit like this.,Toxic,Toxic
he is correct though only because such folk are more intelligent than dark skinned persons but can whites claim to be discriminated against by the orientals and other asians who are better at mathematics than us.,Toxic,Toxic
my bf hit me but it ok he hits like a faggot real.,Toxic,Toxic
user and you are proving your ignorance more and more like i said i am done arguing with a ass scratching finger sniffing redneck do a little research and then we will talk.,Toxic,Toxic
these crazy grandiose women are obviously very fucking uneducated and obviously don t know the difference between a poison and a medicine.,Toxic,Toxic
where do we send complaints when muzrat eunuchs like darrenb are allowed to make complaints against normal people.,Toxic,Toxic
let me see if i have this right kaepernick is suing the nfl because no one wants to hire a no talent racist america hating muslim scumbag and the president is to blame along with some conspiracy of nfl owners i do not think so.,Toxic,Toxic
user triggered faggot maga presidenttrump.,Toxic,Toxic
bill o reilly out at fox i bet jesse waters will take his place or carlson good get the old folks out they are out of touch anyway however liberal women offended by sex harassment claims lol muslims rape women and they support that.,Toxic,Toxic
if moderate muslims are the ones that support jihadi murderers does this make him a moderate progressive.,Toxic,Toxic
im anti racism but pro normalizing words like faggot and nigger and kike and so on theyre just words lmao.,Toxic,Toxic
not that they should be identifying with that trash at all but white people should say whatever words they want fuck niggers and their jew record labels this white people can not say nigger but we can thing is just more hook nosed bullshit.,Toxic,Toxic
user bitch fuck ur niceness drop the.,Toxic,Toxic
user and user jailed today for highlighting the paki gangs raping british children in towns and cities across the uk our police will not do anything about it because they are busy engaging in this degeneracy.,Toxic,Toxic
so we all just house niggas huh.,Toxic,Toxic
i get along with asians and whites very well mulattos not so much.,Toxic,Toxic
come on cunt surely you can dig deep into that insult gab handbook and call me a kike again old man hahaahah.,Toxic,Toxic
treating black folk as if they are retarded and can not handle construction criticism a countries laws social expectations and the difference between right and right is what the virtue signalers do and they are most often white savior progressives.,Toxic,Toxic
kill nigger like love.,Toxic,Toxic
q why do blacks wear white gloves a so they do not bite their fingers eating tootsie rolls.,Toxic,Toxic
nothing anglin writes today will ever beat how to be a nigger on twitter that article had me howling for days.,Toxic,Toxic
people call fuentes a spic but do not care paul nehlen is married to a full blood beaner.,Toxic,Toxic
in general black people are capable of civilized behavior you are right that ghetto culture is an expectation not an absolute it can be changed i am a race realist but also see whole truth in number black crime rates were much lower than today.,Toxic,Toxic
we could update the refugee law if a refugee kills someone then number people from that refugee country are deported each time it happens we double the number deported to that country.,Toxic,Toxic
maybe feminism cropped its clip haired degenerate thot head up far back in the mohammedean past if so literally strapping a cork in their mouths would make good sense as a rule going forward even a broken sand nigger tells the right time twice a millennia o.,Toxic,Toxic
london that the former capital city where the natives are a minority right the one with a sand nigger muslim as mayor.,Toxic,Toxic
user well that retarded.,Toxic,Toxic
this ghetto bitch just sat behind me i hate it here.,Toxic,Toxic
user there were also no mentions of the threats immigrants present to citizens screw israel.,Toxic,Toxic
donald trump is a fucking joke.,Toxic,Toxic
don t play gay w me i ll really fuck you.,Toxic,Toxic
but history is as is the history of how jews acquired the land so let the arabs go back to their huge sandpit and u worry about the millions displaced and starving.,Toxic,Toxic
user you are a traitor where do we send your nazi ass.,Toxic,Toxic
for one minute i have to take a break from jew and nigger hate to remind everyone i fucking hate fat people.,Toxic,Toxic
this is a little known fact but most people on gab are actually faggots and they are compelled to announce a mute as if they are doing something other than handing you a trophy.,Toxic,Toxic
as kids we use to joke that the best sight was to see a nigger swimming back across the rio grande with a spic under each arm.,Toxic,Toxic
user now condemn the muslims who actually did the killing.,Toxic,Toxic
the most radical plans for reconstruction which included land reform the likes of which is currently being proposed in south africa failed for want of support had lincoln survived and these percent governments formed with number nigger senators the most radical plans would have passed the senate.,Toxic,Toxic
i am so happy potus told those silly brits to piss off imagine them allowing their trained chimps to order him to stay out it already too late for britain what white person is willing to die for a people who freely give their children to monkeys to destroy user.,Toxic,Toxic
this is where i am at now i do not care if people are retards as long as they are going in the right general direction even for the wrong reason that because most people are retarded and always will be so expecting anything more is futile.,Toxic,Toxic
cant we just focus our efforts on the mulims and deal with the jews later one spreads much faster then the other.,Toxic,Toxic
have you proven your gender yet nice profile pic by the way oh im a nigger too.,Toxic,Toxic
pls dont talk to me reality is too much for my kike infested mind.,Toxic,Toxic
nope so far i earn enough to get by with me and my son i refuse to be one of those ghetto trash bitches on food stamps even if i do rent in a ghetto.,Toxic,Toxic
mess kikes coons hajjis shits and feral chinks.,Toxic,Toxic
cuff yo bitch nigga.,Toxic,Toxic
cry more bitch made nigger faggot.,Toxic,Toxic
i just do not like you hoes when you a hoe you do anyything so no you not gone be around.,Toxic,Toxic
trump should pardon shekreli and deport the gook judge.,Toxic,Toxic
got booted of fb number calling a spade a spade well a faggot a faggot but ya know tomato tomatoe whats up people.,Toxic,Toxic
sorry u retarded faggit i could not understand u try spitting the nigger cock out of ur mouth and say it again but grow a pair of balls first ur cucked faggit niggerlover attitude is just embarrassing.,Toxic,Toxic
love is trash bitches loves cash.,Toxic,Toxic
white wamin beat nigger wamin fact.,Toxic,Toxic
it started with dank memes until normies realized these memes are not just dank but true now they got some genuine kike hating nazis on there hands number number rahowa speakfreely gabfam.,Toxic,Toxic
niggas got tired of asking where the hoes at so they made an app.,Toxic,Toxic
a b testing is a bitch when you can not find a delete button user.,Toxic,Toxic
lemanuel jackson of the retarded nigger branch of the andrew jackson lineage.,Toxic,Toxic
it the illegal immigrants who poison the well for everyone steve wright.,Toxic,Toxic
omg i hope she gets charged for felony vandalism for leaving a dead nigger in that hotel room.,Toxic,Toxic
user i do not understand how so large a part of the human race got so retarded so fast it truly boggles the mind.,Toxic,Toxic
user user wrong that sanders is a commie nazi wanna be wtf.,Toxic,Toxic
the sales pitch claims brand new epic drama nothing epic was ever launched from either the ghetto or the jungles of darkie africa maybe they meant epidemic.,Toxic,Toxic
who gives a fuck about the sand nigger palestinians if they wanted peace there would be peace if isreal wanted war the palestinians would be dead wake the fuck up berry.,Toxic,Toxic
vietnamexolapologizetosechan their privacy has been violated the passport is spread because of a whore i hate you.,Toxic,Toxic
true freaks and geeks here freaks are scary geeks are questionable and scary lmfao your funny gay nazis whitesupreamist lmfao.,Toxic,Toxic
how to make a libtard do major reeage i just bought a nigger for money autistic screeching i am playing football manager you dullard liberal.,Toxic,Toxic
it number you can honor the lost cause if you are a crazed homosexual jew but i repeat myself thrice.,Toxic,Toxic
user user once a retard always a retard.,Toxic,Toxic
user prestom you could not be more wrong aa is anti white gov program it also hurts the asians.,Toxic,Toxic
purity spiraling mgtow faggot detected user user.,Toxic,Toxic
i am the king of the homos.,Toxic,Toxic
california needs a leader who puts deportation and anti marxism first until you can do that you are just a chink boomercon.,Toxic,Toxic
yall niggers are a disappointment.,Toxic,Toxic
user i fucking hate white liberals.,Toxic,Toxic
fcking censored kike loving degenerate commie scum burn in hell fagot trudeau.,Toxic,Toxic
tom perez the dnc chairman reminds me of lenin but as a spic so i am calling him spic lenin also i have not called anyone a spic in a long time can not let the old slurs call into disrepair.,Toxic,Toxic
i was on the beat when i got a call in for domestic violence at a lesbian couple house when i arrived one of them said what took you so long i am sorry miss i replied i stopped at the shop to get some popcorn and baby oil.,Toxic,Toxic
catholic church since preacher frankie took over a catholic church cemetery in italy where a nativity scene had been displayed every christmas for decades the preacher decided that it will not be displayed because it might hurt some muzzie feelings a top commandment of the gospel is to witness.,Toxic,Toxic
oprah is an affirmative action piece of shit fat ass nigger bitch.,Toxic,Toxic
user i hope ice arrest illegal immigrants and their sponsors.,Toxic,Toxic
fuck the royals big pals with the rothschild what a mix a ginger cunt a thick paddy bastard and a nigger not my princess.,Toxic,Toxic
ok this idea has merit the women will be safe from sexual predators if they stay out of washington dc hollywierd and the goatfuckers can rape the men.,Toxic,Toxic
we need to get real comfortable telling blks they need to leave they farmed they did not contribute to building this country whites did it we need to start saying we do not need diversity in white anything unless they want to make naacp and all the other nigger groups diverse user.,Toxic,Toxic
huma is a muzrat spy married to a congressman and advising killary.,Toxic,Toxic
it a crime to put illegal aliens before americans and i m f kng sick of it.,Toxic,Toxic
user user ching chong you are wrong.,Toxic,Toxic
is there not number brit with the brains balls to assassinate this filthy shit skin moslem terrorist.,Toxic,Toxic
fake lesbians are the worst thing to happen to this app.,Toxic,Toxic
it looks like they are slipping they used to wipe out way more muzzies then that.,Toxic,Toxic
what a number year old black man doing with a number year old white woman anyway.,Toxic,Toxic
idc how gay i am when city girls come on it still real ass bitch give a fuck bout a nigga.,Toxic,Toxic
conservative libertarianism is a farce libertarianism promotes gay marriage drug use race mixing all manner of filth and degeneracy you are a tool of the international jew i could just as easily say this is not number anymore that not an argument you idiot.,Toxic,Toxic
there is a mental health question with jeb if he needed to marry a wetback for politics his family has enough money he could have gotten a telenova star.,Toxic,Toxic
tranny bathrooms moslem edition.,Toxic,Toxic
user get rid of illegal aliens send them back home.,Toxic,Toxic
zecharia sitchin is what happens when an autistic kike finally goes batshit crazy.,Toxic,Toxic
spread you bitches like a butter knife.,Toxic,Toxic
yeah they are not making fun tho they are acting like he legitimately meant cp and it making them look retarded and making people who are not joking about it look retarded and people who actually argue with them look retarded lol twitter is just a mess lately.,Toxic,Toxic
the german regime is more scared of women like this than than are of any moslem terrorist.,Toxic,Toxic
why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed number days before you published it on your website faggot user.,Toxic,Toxic
refugees are the army that the no balls jews use against all gentiles its state sponsored terrorism time to revolt or die like a woman.,Toxic,Toxic
faggots in my mcdonalds parking lot.,Toxic,Toxic
user fuck you faggot can not believe i ever listened to your garbage show also fuck you user you kike piece of shit.,Toxic,Toxic
so which nigger was philandro castile hard to keep up with these nogs.,Toxic,Toxic
yeah humnh what how do i use this app i m alittle retarded.,Toxic,Toxic
user i liked kill the jews with thumbs up better.,Toxic,Toxic
stop kissing jews ass like a bitch and make america great finally deletethejew.,Toxic,Toxic
couple of days ago corrupt dhimmi moslem cock suckers in msm said number rohingya moslems gone to bangladesh earlier  day skynews said number now channel  news say number me thinks fake news by moslem funded whores quite frankly who gives a shit as long as moslems fo to moslem shit holes.,Toxic,Toxic
anybody that stands with the jews is a marikita that has no balls.,Toxic,Toxic
you and vox are so stupid it literally amazing his entire argument is anglin and his followers are fake and repeatedly throwing around retard intellectual no wonder you like blacks they are on your level user.,Toxic,Toxic
i would say its the jews but well it is sorta its not that simple.,Toxic,Toxic
because fuck sargon remember what these little niglets grow in to hahahahaha.,Toxic,Toxic
i m just gonna post porn and laugh at nigger jokes that user posts because trolls need love too shitposting internet trolls put trump in the white house lest we forget.,Toxic,Toxic
pick that cotton negro or whatever massa said.,Toxic,Toxic
jews and vatican using the niggers to do dirty work jews used rome to kill jesus nothing new under sun fuck the vatican and the catholic church with is dead jesus on the cross the cocksuckers of tammuz pope kiss a a babies cock dirty pedo wankers.,Toxic,Toxic
ffs people do unto others does not let foreigners and niggers come to your country and screw your daughters.,Toxic,Toxic
i look at the mudslime news from europe and think i wish some goat fucker would try that shit down here in louisiana just get within number feet of my daughters and thats your life over checkout time mohammed.,Toxic,Toxic
you can say potato nigger all ya want just do not say the word sun my arms are already red from it and i have no more sunblock.,Toxic,Toxic
number eleven yr old white girl raped by number muslims and its just rapusts paedophiles getting it wrong sometimes.,Toxic,Toxic
the caravan is here and seeking asylum from gang violence at the us border i hope they are handing out immigration forms with a polite adios fill out the papers and wait your turn get in line legally but stay over there while you wait.,Toxic,Toxic
we are talking about people dick not m ms and the same can apply for white men should we ban white men or ban them from buying guns.,Toxic,Toxic
damn im about to workouy like a cotton field slave nigger sanz yar.,Toxic,Toxic
yeah but what the f happened to them alu snack bar or some nonsense like that we can only expect the the mussie call to prayer now all.,Toxic,Toxic
if user billionaire appointments enslaved blacks stoned women and executed gays they d be clinton foundation donors.,Toxic,Toxic
i want to go back to school and get an education but i am poor and colleges are kike rip offs i am not satisfied with where i am in life and honestly have no clue where or how to start pushing forward.,Toxic,Toxic
if our civilization is not superior why do immigrants flock here rather than stay in their native regions the united states is not geographically contiguous with syria.,Toxic,Toxic
too many sand niggers in london.,Toxic,Toxic
the only thing that makes a black ghetto as stinking black men selling drugs and committing crime because it cool and it in the hood these f coons who destroy society should be executed worthless s screwing censored up societies throughout the world fing censored nigga cts censored.,Toxic,Toxic
user common for trump groupies rt user nigger sand nigger all the same oh yea wetbacks too.,Toxic,Toxic
i hate you cringy ass white people.,Toxic,Toxic
user i had to give you a o for this line and imagine a homosexual like lemon railing about someone undermining the values and traditions of our society how many layers of subversion are you on my dude.,Toxic,Toxic
well she nonwhite herself so this really does not surprise me one bit lauren simonsen has a fetish for nigs and spics like a typical anti white kikess would how this duplicitous jew bitch fooled so many for so long is beyond me ezra levant does not employ shiksas he keeps it crypto.,Toxic,Toxic
user user we will probably never really know the true depth of his faggot depravity and his scumbag pedophilia and i honestly do not want to know anymore about his demonic psychosis all homos are pedos some just hide it control it better than others.,Toxic,Toxic
when the feelz so surreal you gotta break out that tounge i love beaner pussy nomnomonom.,Toxic,Toxic
well the fbi is a faggot gestappo founded by a paranoid tranny to act as a political witch hunt and false flag tool for deep state faggots like the mafia for politicos always been like that its just stark right in your face and undeniable here.,Toxic,Toxic
spin the wheel of sexual harassment folks who will it be next and for what crime mccain violation of the logan act podesta for the evil that he is clinton of course but pick your fucking poison.,Toxic,Toxic
if i was trump i would certainly not be broadcasting my intentions for these hooknosed bastards he has been tossing them a bone for the time being while he figures out the correct strategy needed to eliminate this toxic and distractive influence from the world.,Toxic,Toxic
makes sense thernovith would sell out on beaner invasion in a second to sell spanish copies of gorilla mindset anyways if he somehow managed to gain power lol when it comes down to it alt lite fags are just gayer leftists.,Toxic,Toxic
ai is dumb as fuck so they can only build a retarded robot if they are lucky like ariana grande but smarter.,Toxic,Toxic
dump that dick off in that hoe.,Toxic,Toxic
right away the nigger goes to muh dik should be legal to decorate the city lampposts with these stupid animals.,Toxic,Toxic
blacks are human we are all just human no boomer cucks and sjw parasites we are different blacks are not human nor are asians and arabs they are sub species.,Toxic,Toxic
i fully agree the ghetto and criminal underclasses make all the decent blacks look bad.,Toxic,Toxic
if they want to truly boycott the nigger felon league not cutting the cord makes their protestations futile money per month goes to espn and you do not get a choice whether it included in your package or not.,Toxic,Toxic
antifa faggots are nothing but lactating manginas who will attack a woman when there are no men around to defend her just like the inbred low iq retarded muslims they both deserve the same punishment.,Toxic,Toxic
user the fetishizing lesbians joke yuck.,Toxic,Toxic
i asked you a question before why the hate for iran did an iran hang a homosexual you were emphasis on were fond of.,Toxic,Toxic
it legal to kill apostates in number muslim countries twitter muslims omg stop obsessing over islam haha.,Toxic,Toxic
of course because steve jobs was a gay faggit kike himself.,Toxic,Toxic
after white people are thoroughly minoritized in the us every white ghetto will have a robert e lee boulevard running through it.,Toxic,Toxic
user hahaha arabs are weird but i fell sorry for them they are blind of hate because they got no god that teach them love.,Toxic,Toxic
nope because other low iq illiterates to block vote cheating their way into power together with the matrix dwelling white lib the tribal vote has power but there is hope and a change in tbe air so we shall see.,Toxic,Toxic
study subject jew projects the greatest feat of the north american kike namely that non urban usa is a hotbed of ovens shoah number electric boogaloo its panicky neurosis cause it to lash out at the goy claiming the opposite studying such sick pathologies is unpleasant but on i press.,Toxic,Toxic
white people allowed their kids to be raped by pakis why they went running to the police why is not it a fathers job to protect his kids from monsters we did in my day we did not ask anyone permission.,Toxic,Toxic
user user user user user user user sweetie like i said look in the mirror you might want to refrain from posting yours it not a good look even for trailer trash poor plump thing.,Toxic,Toxic
should be a public hanging using a short drop that way the body jerks in the breeze sends a powerful message to any other nigger who thinks it can put its paws on a white woman.,Toxic,Toxic
user user hi i hate asians.,Toxic,Toxic
peppered cheeses made my son gay.,Toxic,Toxic
user it not even very clever and seems retarded but it provides number lulz.,Toxic,Toxic
lol really you must be a feminazi right go away femme fatale.,Toxic,Toxic
shlomo for a small fee i can help you stop shilling like a tay sachs ghetto jew peddling fake diamonds out of a rag cart here a freebie turn off the projection it like a giant star of david bat signal.,Toxic,Toxic
the jews juden are whitewashed palestinians arabs the only reason they have any brain is because of us otherwise they are nigger semites arabs sandniggers.,Toxic,Toxic
you can take a hoodrat out of the ghetto but you can not take the ghetto out of the hoodrat.,Toxic,Toxic
deport all sand niggers and save the motherland.,Toxic,Toxic
real ass nigga gaf bout a bitch.,Toxic,Toxic
it just a bunch of roided up monkeys jumping and running around why pay for it when you can go into any ghetto and see the same shit.,Toxic,Toxic
i fucking hate chicago.,Toxic,Toxic
bunch of dirty fucking nigger lovers and men with tits.,Toxic,Toxic
